Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
3389,6387,Directed,109250,,,1,HFE,TXN,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3386,3179,Directed,109258,,,1,HGH,HKT,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3386,6383,Directed,109260,,,1,HGH,LYG,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3386,6385,Directed,109261,,,1,HGH,LYI,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3386,6399,Directed,109262,,,1,HGH,LZO,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,3389,Directed,109276,,,1,HKG,HFE,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,4085,Directed,109279,,,1,HKG,INC,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,3384,Directed,109280,,,1,HKG,KHN,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,4033,Directed,109282,,,1,HKG,LJG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,6383,Directed,109283,,,1,HKG,LYG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,4108,Directed,109288,,,1,HKG,TNA,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,6390,Directed,109291,,,1,HKG,WUX,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,3392,Directed,109293,,,1,HKG,YNT,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3077,6393,Directed,109294,,,1,HKG,YNZ,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3179,3386,Directed,109295,,,1,HKT,HGH,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3179,3382,Directed,109296,,,1,HKT,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6743,3406,Directed,109302,,,1,HMI,PVG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3728,3406,Directed,109306,,,1,HNL,PVG,,0,332,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3400,6342,Directed,109307,,,1,HRB,CIF,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3400,6434,Directed,109308,,,1,HRB,DSN,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3400,6944,Directed,109310,,,1,HRB,JNG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6395,3406,Directed,109319,,,1,HSN,PVG,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3930,3372,Directed,109325,,,2,ICN,KWL,,0,321,OZ,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y,
3930,3388,Directed,109326,,,2,ICN,NKG,,0,763 321,OZ,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y,
4085,3077,Directed,109333,,,1,INC,HKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4085,3382,Directed,109334,,,1,INC,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6432,3379,Directed,109347,,,1,JGN,XIY,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3381,6375,Directed,109351,,,1,JHG,DIG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3381,7862,Directed,109355,,,1,JHG,TCZ,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6381,3391,Directed,109360,,,1,JIU,SHA,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6944,3400,Directed,109362,,,1,JNG,HRB,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6944,3382,Directed,109363,,,1,JNG,KMG,,0,733 737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6944,3364,Directed,109364,,,1,JNG,PEK,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4301,3379,Directed,109373,,,1,JZH,XIY,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
8921,3395,Directed,109374,,,1,KGT,CTU,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3397,7932,Directed,109375,,,1,KHG,NGQ,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3397,3379,Directed,109377,,,1,KHG,XIY,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
2264,3388,Directed,109379,,,1,KHH,NKG,,0,321 320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3384,3077,Directed,109384,,,1,KHN,HKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3384,3376,Directed,109398,,,1,KHN,WUH,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3885,Directed,109406,,,2,KMG,BKK,,0,333,TG,Thai Airways International,\N,TG,THA,THAI,Thailand,Y,
3382,3043,Directed,109409,,,1,KMG,CCU,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3932,Directed,109410,,,1,KMG,CEI,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
