Id,Label,timeset,airport_id,airport_name,airport_city,airport_country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,airport_dst,airport_tz,airport_type,data_source,background_map_node,lat,lng,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
10017,,,10017,San Gabriel Valley Airport,El Monte,United States,EMT,KEMT,34.086102,-118.035004,296,-8,E,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0.000039,3487,3528,0,0
10057,,,10057,Farah Airport,Farah,Afghanistan,FAH,OAFR,32.367001,62.182999,3083,4.3,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3501,0,0.000039,3488,3529,0,0
10061,,,10061,Pasighat Airport,Pasighat,India,IXT,VEPG,28.066099,95.335602,477,5.3,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3502,0,0.000039,3489,3530,0,0
10062,,,10062,Kee Field,Pineville,United States,\N,KI16,37.600399,-81.559303,1783,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3503,0,0.000039,3490,3531,0,0
10069,,,10069,Kramatorsk Airport,Kramatorsk,Ukraine,KRQ,UKCK,48.705601,37.628899,646,2,E,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3504,0,0.000039,3491,3532,0,0
10080,,,10080,Kautokeino Air Base,Kautokeino,Norway,QKX,ENKA,69.040298,23.034,1165,1,U,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3505,0,0.000039,3492,3533,0,0
10089,,,10089,Lille/Marcq-en-Baroeul Airport,Marcq En Baroeul,France,\N,LFQO,50.687199,3.07556,69,1,E,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3506,0,0.000039,3493,3534,0,0
10096,,,10096,Kawass Airport,Kamsar,Guinea,\N,GUKR,10.651,-14.5336,36,1,E,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3507,0,0.000039,3494,3535,0,0
10102,,,10102,Stinson Municipal Airport,Stinson,United States,SSF,KSSF,29.337,-98.4711,577,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3508,0,0.000039,3495,3536,0,0
10103,,,10103,Sallisaw Municipal Airport,Sallisaw,United States,\N,KJSV,35.438202,-94.802803,527,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3509,0,0.000039,3496,3537,0,0
10104,,,10104,Jasper County Airport-Bell Field,Jasper,United States,JAS,KJAS,30.8857,-94.034897,213,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3510,0,0.000039,3497,3538,0,0
10105,,,10105,El Dorado Springs Memorial Airport,El dorado springs,United States,\N,K87K,37.856701,-93.9991,931,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3511,0,0.000039,3498,3539,0,0
10106,,,10106,Marfa Municipal Airport,Marfa,United States,MRF,KMRF,30.371099,-104.017997,4849,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3512,0,0.000039,3499,3540,0,0
10107,,,10107,Alpine Casparis Municipal Airport,Alpine,United States,ALE,KE38,30.384199,-103.683998,4515,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3513,0,0.000039,3500,3541,0,0
10110,,,10110,Bubaque Airport,Bubaque,Guinea-Bissau,BQE,GGBU,11.297356,-15.838079,0,0,N,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3514,0,0.000039,3501,3542,0,0
10114,,,10114,Chichen Itza International Airport,Chichen Itza,Mexico,CZA,MMCT,20.6413,-88.446198,102,-6,S,America/Mexico_City,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3515,0,0.000039,3502,3543,0,0
10116,,,10116,Bunbury Airport,Bunbury,Australia,BUY,YBUN,-33.3783,115.677002,53,8,U,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3516,0,0.000039,3503,3544,0,0
10117,,,10117,Cable Airport,Upland,United States,CCB,KCCB,34.111599,-117.688004,1444,-8,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3517,0,0.000039,3504,3545,0,0
10121,,,10121,Mount Sterling Montgomery County Airport,Mount Sterling,United States,\N,KIOB,38.058102,-83.979599,1019,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3518,0,0.000039,3505,3546,0,0
10122,,,10122,Elkhart Municipal Airport,Elkhart,United States,EKI,KEKM,41.719398,-86.003197,778,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3519,0,0.000039,3506,3547,0,0
10123,,,10123,Nappanee Municipal Airport,Nappanee,United States,\N,KC03,41.446201,-85.934799,860,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3520,0,0.000039,3507,3548,0,0
10128,,,10128,Jim Hamilton L.B. Owens Airport,Columbia,United States,CUB,KCUB,33.970501,-80.995201,193,-4,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3521,0,0.000039,3508,3549,0,0
10129,,,10129,Grove Municipal Airport,Grove,United States,\N,KGMJ,36.6068,-94.738602,831,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3522,0,0.000039,3509,3550,0,0
10130,,,10130,Mc Pherson Airport,Mc Pherson,United States,\N,KMPR,38.352402,-97.691299,1498,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3523,0,0.000039,3510,3551,0,0
10131,,,10131,Donaldson Center Airport,Greenville,United States,GDC,KGYH,34.758301,-82.376404,955,-4,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3524,0,0.000039,3511,3552,0,0
10132,,,10132,Perry Houston County Airport,Perry,United States,\N,KPXE,32.510601,-83.767303,418,-4,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3525,0,0.000039,3512,3553,0,0
10133,,,10133,Hartsville Regional Airport,Hartsville,United States,HVS,KHVS,34.403099,-80.119202,364,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3526,0,0.000039,3513,3554,0,0
10134,,,10134,Horace Williams Airport,Chapel Hill,United States,\N,KIGX,35.935001,-79.065902,512,-5,A,\N,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3527,0,0.000039,3514,3555,0,0
10135,,,10135,San Cristobal de las Casas Airport,San Cristobal de las Casas,Mexico,SZT,MMSC,16.6903,-92.530098,7707,-6,N,America/Mexico_City,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3528,0,0.000039,3515,3556,0,0
